#ID               Station ID
#LAT              Latitude (NAD27, decimal degrees)
#LONG             Longitude (NAD27, decimal degrees)
#UTM10x_NAD83     Easting (NAD83 Zone 10N, meters)
#UTM10y_NAD83     Northing (NAD83 Zone 10N, meters)
#ELEV_m           Elevation (NGVD29, meters)
#CBA              Complete Bouger Anomaly (mGal)
#ISO              Isostatic Anomaly (mGal)
#OG               Observed Gravity (mGal)
#FTC              Field Terrain Correction (calculated out to 68m from station, mGal)
#TTC              Total Terrain Correction (calculated from 68m to 166.7km from station, mGal)

ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC
19GY4052,38.77535667,-122.68773533,527031.807,4291880.820,401.390,-30.455,-5.235,979946.847,0.030,4.630
19GY4053,38.77471133,-122.70416967,525604.427,4291804.465,459.670,-33.950,-8.930,979930.413,0.040,6.120
19GY4054,38.77493867,-122.67275783,528333.033,4291838.984,380.280,-28.596,-3.286,979952.935,0.020,4.490
19GY4055,38.82537017,-122.69524033,526361.368,4297428.402,1002.640,-45.627,-18.397,979817.829,0.020,5.270
19GY4056,38.83448383,-122.70215367,525757.947,4298437.731,1001.850,-47.321,-19.701,979817.035,0.030,5.330
19GY4057,38.84187250,-122.70322183,525662.572,4299257.323,913.260,-47.011,-19.021,979836.001,0.030,4.670
19GY4058,38.84053267,-122.68622100,527138.531,4299113.578,777.590,-44.496,-16.386,979865.320,0.050,4.300
19GY4059,38.83020250,-122.66974333,528572.746,4297972.317,846.890,-42.743,-15.073,979851.749,0.020,5.150
19GY4060,38.91271050,-122.68180683,527493.712,4307124.270,597.410,-43.655,-12.405,979909.727,0.050,2.360
19GY4061,38.91786550,-122.70525917,525458.528,4307689.478,573.080,-46.666,-15.236,979912.490,0.010,1.800
19GY4062,38.91491533,-122.71584183,524542.090,4307359.192,601.480,-47.622,-16.362,979905.869,0.010,1.650
19GY4063,38.92372050,-122.73131117,523198.051,4308332.218,591.810,-46.866,-15.296,979909.444,0.010,1.500
19GY4064,38.94860667,-122.72671833,523587.914,4311094.974,608.200,-43.206,-10.606,979911.749,0.030,1.850
19GY4065,38.95178517,-122.71292733,524781.890,4311451.362,559.900,-39.137,-6.357,979925.894,0.020,1.500
19GY4066,38.95530200,-122.70459933,525502.272,4311843.925,557.720,-38.763,-5.833,979926.006,0.050,2.500
19GY4067,38.96982967,-122.61239733,533484.621,4313485.984,434.860,-33.339,-0.209,979957.966,0.010,1.270
19GY4068,38.97652317,-122.62528333,532365.234,4314224.086,426.250,-27.141,6.339,979966.829,0.010,0.880
19GY4069,38.96525033,-122.85142183,512778.483,4312916.886,435.310,-37.784,-5.604,979953.418,0.000,0.880
19GY4070,38.95055950,-122.87069267,511111.237,4311284.122,474.700,-36.815,-5.635,979945.337,0.020,0.930
19GY4071,38.93919233,-122.86569450,511546.209,4310023.355,479.980,-34.973,-4.213,979945.062,0.010,1.010
19GY4072,38.92283167,-122.84790517,513091.009,4308210.269,457.060,-40.559,-10.229,979941.670,0.020,1.850
19GY4073,38.91755467,-122.85265650,512680.070,4307624.016,460.650,-38.930,-8.910,979942.391,0.010,1.590
19GY4074,38.91422950,-122.85773800,512240.107,4307254.330,468.790,-37.764,-7.994,979941.652,0.010,1.610
19GY4075,38.91001767,-122.85755467,512256.731,4306786.979,465.680,-36.653,-7.073,979942.739,0.010,1.870
19GY4076,38.90511233,-122.86827583,511327.952,4306241.249,545.280,-35.658,-6.538,979927.407,0.050,2.200
19GY4077,38.89073167,-122.87556717,510697.898,4304644.579,680.250,-35.705,-7.485,979898.711,0.060,3.180
19GY4078,38.89728183,-122.87976883,510332.542,4305370.943,540.180,-35.178,-6.648,979926.932,0.140,3.460
19GY4079,38.89712033,-122.86952417,511220.977,4305354.243,685.620,-36.732,-8.092,979896.858,0.050,3.520
19GY4080,38.89108500,-122.86291600,511795.040,4304685.359,699.080,-37.267,-8.797,979892.697,0.180,3.980
