Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
105 ^ M371487R314    ^ M ^ 87 ^ 314    ^ 3714 ^ 7511500 ^ 3499061 ^ 7511500 ^ 3499060 ^ 231.00 ^ 0.00 ^ 45.00 ^ 90.00
106 ^ M371487R314    ^ M ^ 87 ^ 314    ^ 3714 ^ 7511500 ^ 3499061 ^ 7511500 ^ 3499060 ^ 231.00 ^ 10.00 ^ 45.10 ^ 90.00
107 ^ M371487R314    ^ M ^ 87 ^ 314    ^ 3714 ^ 7511500 ^ 3499061 ^ 7511500 ^ 3499060 ^ 231.00 ^ 15.00 ^ 45.10 ^ 90.00
108 ^ M371487R314    ^ M ^ 87 ^ 314    ^ 3714 ^ 7511500 ^ 3499061 ^ 7511500 ^ 3499060 ^ 231.00 ^ 67.40 ^ 45.10 ^ 90.00
109 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 0.00 ^ 43.00 ^ 90.00
110 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 10.00 ^ 42.40 ^ 90.00
111 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 20.00 ^ 41.40 ^ 90.00
112 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 30.00 ^ 41.70 ^ 90.00
113 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 40.00 ^ 41.50 ^ 90.00
114 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 50.00 ^ 41.30 ^ 90.00
115 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 60.00 ^ 40.80 ^ 90.00
116 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 70.00 ^ 40.70 ^ 90.00
117 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 80.00 ^ 40.50 ^ 90.00
118 ^ M371487R315    ^ M ^ 87 ^ 315    ^ 3714 ^ 7511350 ^ 3499021 ^ 7511350 ^ 3499020 ^ 236.00 ^ 90.40 ^ 40.50 ^ 90.00
119 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 0.00 ^ 42.70 ^ 90.00
120 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 10.00 ^ 43.10 ^ 90.00
121 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 20.00 ^ 44.20 ^ 90.00
122 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 30.00 ^ 44.50 ^ 90.00
123 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 40.00 ^ 45.10 ^ 90.00
124 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 50.00 ^ 45.40 ^ 90.00
125 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 60.00 ^ 45.40 ^ 90.00
126 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 70.00 ^ 45.50 ^ 90.00
127 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 80.00 ^ 46.00 ^ 90.00
128 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 90.00 ^ 46.10 ^ 90.00
129 ^ M371487R316    ^ M ^ 87 ^ 316    ^ 3714 ^ 7511300 ^ 3499001 ^ 7511300 ^ 3499000 ^ 235.00 ^ 100.00 ^ 46.20 ^ 90.00
